type,N,W,sol,w_avg,w_max,v_avg,v_max,BB_sol,BB_time,BB_mem,FPTAS_sol,FPTAS_time,FPTAS_mem,greedy_sol,greedy_time,greedy_mem
Large,10000,49877,563647.0,503.765,1000.0,497.907,1000.0,,,,,,,563605.0,2982,3664
Large,1000,5002,54503.0,505.29,1000.0,486.504,998.0,,,,54533.0,413219.0,14840.0,54386.0,244,1908
Large,100,995,9147.0,503.78,995.0,500.44,997.0,9147.0,361.0,1936.0,9146.0,5870.0,3596.0,8817.0,25,1972
Large,2000,10011,110625.0,505.565,1000.0,488.868,1000.0,,,,110625.0,852509.0,49236.0,110547.0,612,1908
Large,200,1008,11238.0,509.14,995.0,498.09,997.0,11238.0,877.0,1940.0,11243.0,44014.0,3852.0,11227.0,44,1936
Large,5000,25016,276457.0,505.329,1000.0,494.954,1000.0,,,,276457.0,875607.0,293736.0,276379.0,1453,3724
Large,500,2543,28857.0,513.864,997.0,494.142,998.0,28857.0,147060.0,1912.0,28859.0,625413.0,6248.0,28834.0,109,1908
Large,10000,49877,90204.0,503.765,1000.0,505.684,1100.0,,,,,,,90200.0,2979,3824
Large,1000,5002,9052.0,505.29,1000.0,507.95,1091.0,,,,9050.0,980486.0,14396.0,9046.0,222,1908
Large,100,995,1514.0,503.78,995.0,511.14,1040.0,1514.0,802.0,1972.0,1512.0,5396.0,3572.0,1487.0,21,1940
Large,2000,10011,18051.0,505.565,1000.0,507.579,1091.0,,,,18056.0,1084070.0,47008.0,18038.0,539,1936
Large,200,1008,1634.0,509.14,995.0,515.01,1071.0,1634.0,1623.0,1912.0,1635.0,44164.0,3856.0,1604.0,43,1876
Large,5000,25016,44356.0,505.329,1000.0,506.9,1091.0,,,,44372.0,1133570.0,275640.0,44351.0,1524,3752
Large,500,2543,4566.0,513.864,997.0,516.634,1074.0,4566.0,69511.0,1940.0,4573.0,674858.0,6316.0,4552.0,113,1940
Large,10000,49519,146919.0,500.142,1000.0,600.142,1100.0,,,,,,,146888.0,3240,3684
Large,1000,4990,14390.0,504.003,998.0,604.003,1098.0,,,,14384.0,338893.0,16192.0,14374.0,246,1944
Large,100,997,2397.0,519.84,997.0,619.84,1097.0,2397.0,521.0,1908.0,2400.0,8815.0,3728.0,2375.0,25,1992
Large,2000,9819,28919.0,495.897,1000.0,595.897,1100.0,,,,28924.0,936126.0,54484.0,28827.0,447,1888
Large,200,997,2697.0,502.11,997.0,602.11,1097.0,2697.0,40926.0,1940.0,2698.0,44873.0,3864.0,2649.0,47,1944
Large,5000,24805,72505.0,501.08,1000.0,601.08,1100.0,,,,72502.0,274955.0,323868.0,72446.0,2184,3596
Large,500,2517,7117.0,508.612,998.0,608.612,1098.0,7117.0,870754.0,1908.0,7100.0,744753.0,6480.0,7098.0,110,1912
Low,20,879,1025.0,54.9,96.0,54.3,91.0,1025.0,3055.0,1940.0,1019.0,162.0,1992.0,1019.0,10,1876
Low,10,269,295.0,53.9,95.0,41.2,87.0,295.0,28.0,1976.0,292.0,27.0,1880.0,294.0,7,1884
Low,20,878,1024.0,54.9,96.0,54.25,91.0,1024.0,3427.0,1884.0,1027.0,133.0,1940.0,1018.0,12,1912
Low,4,20,35.0,6.75,9.0,12.0,15.0,35.0,15.0,1912.0,35.0,22.0,1912.0,35.0,8,1992
Low,4,11,23.0,4.75,7.0,10.25,13.0,23.0,23.0,1916.0,23.0,29.0,1936.0,16.0,5,1936
Low,15,375,481.069,49.4611,89.5962,37.5331,98.8525,481.069,63.0,1940.0,479.034,45.0,1904.0,481.069,12,1936
Low,10,60,52.0,13.0,30.0,10.5,20.0,52.0,163.0,1904.0,52.0,29.0,1912.0,52.0,11,1888
Low,7,50,107.0,13.2857,31.0,26.8571,70.0,107.0,22.0,1876.0,107.0,31.0,1916.0,102.0,12,1940
Low,23,10000,9767.0,844.696,983.0,839.522,981.0,9767.0,385186.0,1888.0,9630.0,208.0,1940.0,9751.0,14,1936
Low,5,80,130.0,18.2,31.0,28.4,37.0,130.0,22.0,1908.0,130.0,25.0,1944.0,130.0,6,1936
